State,Governor,Party,Born,Experience,Inauguration,EndOfTerm
ALABAMA,Kay Ivey,Republican,"(1944-10-15) October 15, 1944 (ageÿ80)",Lieutenant GovernorState Treasurer,4/10/2017,2027 (term limits)
ALASKA,Mike Dunleavy,Republican,"(1961-05-05) May 5, 1961 (ageÿ64)",Alaska Senate,12/3/2018,2026 (term limits)
ARIZONA,Katie Hobbs,Democratic,"(1969-12-28) December 28, 1969 (ageÿ55)",Secretary of StateMinority Leader of the Arizona SenateArizona House,1/2/2023,2027
ARKANSAS,Sarah Huckabee Sanders,Republican,"(1982-08-13) August 13, 1982 (ageÿ43)",White House Press Secretary,1/10/2023,2027
CALIFORNIA,Gavin Newsom,Democratic,"(1967-10-10) October 10, 1967 (ageÿ57)",Lieutenant GovernorMayor of San FranciscoSan Francisco Board of Supervisors,1/7/2019,2027 (term limits)
COLORADO,Jared Polis,Democratic,"(1975-05-12) May 12, 1975 (ageÿ50)",U.S. HouseColorado State Board of Education,1/8/2019,2027 (term limits)
CONNECTICUT,Ned Lamont,Democratic,"(1954-01-03) January 3, 1954 (ageÿ71)",Chair of the State Investment Advisory CouncilGreenwich Board of Estimate and TaxationGreenwich Board of Selectmen,1/9/2019,2027
DELAWARE,Matt Meyer,Democratic,"(1971-09-29) September 29, 1971 (ageÿ53)",Executive of New Castle County,1/21/2025,2029
FLORIDA,Ron DeSantis,Republican,"(1978-09-14) September 14, 1978 (ageÿ47)",U.S. House,1/8/2019,2027 (term limits)
GEORGIA,Brian Kemp,Republican,"(1963-11-02) November 2, 1963 (ageÿ61)",Secretary of StateGeorgia Senate,1/14/2019,2027 (term limits)
HAWAII,Josh Green,Democratic,"(1970-02-11) February 11, 1970 (ageÿ55)",Lieutenant GovernorHawaii SenateHawaii House,12/5/2022,2026
IDAHO,Brad Little,Republican,"(1954-02-15) February 15, 1954 (ageÿ71)",Lieutenant GovernorIdaho Senate,1/7/2019,2027
ILLINOIS,JB Pritzker,Democratic,"(1965-01-19) January 19, 1965 (ageÿ60)",Chair of the Illinois Human Rights Commission,1/14/2019,2027
INDIANA,Mike Braun,Republican,"(1954-03-24) March 24, 1954 (ageÿ71)","U.S. Senate
Indiana House",1/13/2025,2029
IOWA,Kim Reynolds,Republican,"(1959-08-04) August 4, 1959 (ageÿ66)",Lieutenant GovernorIowa SenateClarke County Treasurer,5/24/2017,2027 (retiring)
KANSAS,Laura Kelly,Democratic,"(1950-01-24) January 24, 1950 (ageÿ75)",Kansas Senate,1/14/2019,2027 (term limits)
KENTUCKY,Andy Beshear,Democratic,"(1977-11-29) November 29, 1977 (ageÿ47)",State Attorney General,12/10/2019,2027 (term limits)
LOUISIANA,Jeff Landry,Republican,"(1970-12-23) December 23, 1970 (ageÿ54)",State Attorney GeneralU.S. House,1/8/2024,2028
MAINE,Janet Mills,Democratic,"(1947-12-30) December 30, 1947 (ageÿ77)",State Attorney GeneralMaine House,1/2/2019,2027 (term limits)
MARYLAND,Wes Moore,Democratic,"(1978-10-15) October 15, 1978 (ageÿ46)",No prior public experience,1/18/2023,2027
MASSACHUSETTS,Maura Healey,Democratic,"(1971-02-08) February 8, 1971 (ageÿ54)",State Attorney General,1/5/2023,2027
MICHIGAN,Gretchen Whitmer,Democratic,"(1971-08-23) August 23, 1971 (ageÿ54)",Minority Leader of the Michigan SenateMichigan House,1/1/2019,2027 (term limits)
MINNESOTA,Tim Walz,Democratic,"(1964-04-06) April 6, 1964 (ageÿ61)",U.S. House,1/7/2019,2027
MISSISSIPPI,Tate Reeves,Republican,"(1974-06-05) June 5, 1974 (ageÿ51)",Lieutenant GovernorState Treasurer,1/14/2020,2028 (term limits)
MISSOURI,Mike Kehoe,Republican,"(1962-01-17) January 17, 1962 (ageÿ63)",Lieutenant GovernorMajority Leader of the Missouri Senate,1/13/2025,2029
MONTANA,Greg Gianforte,Republican,"(1961-04-17) April 17, 1961 (ageÿ64)",U.S. House,1/4/2021,2029 (term limits)
NEBRASKA,Jim Pillen,Republican,"(1955-12-31) December 31, 1955 (ageÿ69)",No prior public experience,1/5/2023,2027
NEVADA,Joe Lombardo,Republican,"(1962-11-08) November 8, 1962 (ageÿ62)",Clark County Sheriff,1/2/2023,2027
NEW HAMPSHIRE,Kelly Ayotte,Republican,"(1968-06-27) June 27, 1968 (ageÿ57)",U.S. SenateAttorney General,1/9/2025,2027
NEW JERSEY,Phil Murphy,Democratic,"(1957-08-16) August 16, 1957 (ageÿ68)",U.S. Ambassador to Germany,1/16/2018,2026 (term limits)
NEW MEXICO,Michelle Lujan Grisham,Democratic,"(1959-10-24) October 24, 1959 (ageÿ65)",U.S. HouseBernalillo County CommissionState Secretary of Health,1/1/2019,2027 (term limits)
NEW YORK,Kathy Hochul,Democratic,"(1958-08-27) August 27, 1958 (ageÿ67)",Lieutenant GovernorU.S. HouseErie County Clerk,8/24/2021,2026[note 2]
NORTH CAROLINA,Josh Stein,Democratic,"(1966-09-13) September 13, 1966 (ageÿ59)",State Attorney GeneralNorth Carolina Senate,1/1/2025,2029
NORTH DAKOTA,Kelly Armstrong,Republican,"(1976-10-06) October 6, 1976 (ageÿ48)",U.S. HouseChair of the North Dakota Republican PartyNorth Dakota Senate,12/15/2024,2028
OHIO,Mike DeWine,Republican,"(1947-01-05) January 5, 1947 (ageÿ78)",State Attorney GeneralU.S. SenateLieutenant GovernorU.S. HouseOhio SenateGreene County Prosecutor,1/14/2019,2027 (term limits)
OKLAHOMA,Kevin Stitt,Republican,"(1972-12-28) December 28, 1972 (ageÿ52)",No prior public experience,1/14/2019,2027 (term limits)
OREGON,Tina Kotek,Democratic,"(1966-09-30) September 30, 1966 (ageÿ58)",Speaker of the Oregon House,1/9/2023,2027
PENNSYLVANIA,Josh Shapiro,Democratic,"(1973-06-20) June 20, 1973 (ageÿ52)",State Attorney GeneralMontgomery County Board of CommissionersPennsylvania House,1/17/2023,2027
RHODE ISLAND,Dan McKee,Democratic,"(1951-06-16) June 16, 1951 (ageÿ74)",Lieutenant Governor,3/2/2021,2027
SOUTH CAROLINA,Henry McMaster,Republican,"(1947-05-27) May 27, 1947 (ageÿ78)",Lieutenant GovernorState Attorney General,1/24/2017,2027 (term limits)
SOUTH DAKOTA,Larry Rhoden,Republican,"(1959-02-05) February 5, 1959 (ageÿ66)",Lieutenant GovernorSecretary of AgricultureSouth Dakota HouseSouth Dakota Senate,1/25/2025,2027
TENNESSEE,Bill Lee,Republican,"(1959-10-09) October 9, 1959 (ageÿ65)",No prior public experience,1/19/2019,2027 (term limits)
TEXAS,Greg Abbott,Republican,"(1957-11-13) November 13, 1957 (ageÿ67)",State Attorney GeneralAssociate Justice of the Texas Supreme Court,1/20/2015,2027
UTAH,Spencer Cox,Republican,"(1975-07-11) July 11, 1975 (ageÿ50)",Lieutenant GovernorUtah HouseSanpete County Commission,1/4/2021,2029
VERMONT,Phil Scott,Republican,"(1958-08-04) August 4, 1958 (ageÿ67)",Lieutenant GovernorVermont Senate,1/5/2017,2027
VIRGINIA,Glenn Youngkin,Republican,"(1966-12-09) December 9, 1966 (ageÿ58)",No prior public experience,1/15/2022,2026 (term limits)
WASHINGTON,Bob Ferguson,Democratic,"(1965-02-23) February 23, 1965 (ageÿ60)",State Attorney GeneralChair of the King County Council,1/15/2025,2029
WEST VIRGINIA,Patrick Morrisey,Republican,"(1967-12-21) December 21, 1967 (ageÿ57)",State Attorney General,1/13/2025,2029
WISCONSIN,Tony Evers,Democratic,"(1951-11-05) November 5, 1951 (ageÿ73)",State Superintendent of Public Instruction,1/7/2019,2027 (retiring)
WYOMING,Mark Gordon,Republican,"(1957-03-14) March 14, 1957 (ageÿ68)",State Treasurer,1/7/2019,2027 (term limits)
